DATE,TMAX_LAND,TMAX_OCEAN,DIFF
2024-01-01,60,61,1
2024-01-02,64,53,-11
2024-01-03,59,58,-1
2024-01-04,61,60,-1
2024-01-05,62,61,-1
2024-01-06,57,50,-7
2024-01-07,56,54,-2
2024-01-08,55,55,0
2024-01-09,58,52,-6
2024-01-10,57,58,1
2024-01-11,54,55,1
2024-01-12,54,52,-2
2024-01-13,57,51,-6
2024-01-14,59,54,-5
2024-01-15,59,59,0
2024-01-16,57,53,-4
2024-01-17,60,63,3
2024-01-18,60,59,-1
2024-01-19,58,59,1
2024-01-20,59,61,2
2024-01-21,62,62,0
2024-01-22,61,62,1
2024-01-23,59,63,4
2024-01-24,60,58,-2
2024-01-25,61,60,-1
2024-01-26,60,61,1
2024-01-27,60,63,3
2024-01-28,66,71,5
2024-01-29,66,69,3
2024-01-30,64,70,6
2024-01-31,61,62,1
2024-02-01,59,61,2
2024-02-02,58,60,2
2024-02-03,55,55,0
2024-02-04,62,64,2
2024-02-05,60,61,1
2024-02-06,58,59,1
2024-02-07,54,50,-4
2024-02-08,56,51,-5
2024-02-09,57,56,-1
2024-02-10,61,62,1
2024-02-11,59,60,1
2024-02-12,59,62,3
2024-02-13,57,61,4
2024-02-14,59,60,1
2024-02-15,61,63,2
2024-02-16,58,59,1
2024-02-17,58,59,1
2024-02-18,66,68,2
2024-02-19,64,65,1
2024-02-20,58,64,6
2024-02-21,59,60,1
2024-02-22,59,64,5
2024-02-23,65,67,2
2024-02-24,69,70,1
2024-02-25,65,69,4
2024-02-26,62,67,5
2024-02-27,62,63,1
2024-02-28,65,65,0
2024-02-29,58,61,3
2024-03-01,58,60,2
2024-03-02,55,54,-1
2024-03-03,54,56,2
2024-03-04,57,57,0
2024-03-05,60,62,2
2024-03-06,59,65,6
2024-03-07,60,66,6
2024-03-08,65,66,1
2024-03-09,61,64,3
2024-03-10,62,64,2
2024-03-11,59,64,5
2024-03-12,61,63,2
2024-03-13,62,66,4
2024-03-14,66,69,3
2024-03-15,73,76,3
2024-03-16,71,75,4
2024-03-17,65,74,9
2024-03-18,64,76,12
2024-03-19,62,76,14
2024-03-20,64,75,11
2024-03-21,67,71,4
2024-03-22,67,68,1
2024-03-23,60,62,2
2024-03-24,60,68,8
2024-03-25,59,65,6
2024-03-26,60,67,7
2024-03-27,58,60,2
2024-03-28,61,64,3
2024-03-29,54,57,3
2024-03-30,63,64,1
2024-03-31,65,69,4
2024-04-01,71,77,6
2024-04-02,67,76,9
2024-04-03,59,70,11
2024-04-04,55,52,-3
2024-04-05,57,58,1
2024-04-06,59,62,3
2024-04-07,60,68,8
2024-04-08,66,77,11
2024-04-09,71,79,8
2024-04-10,72,82,10
2024-04-11,71,83,12
2024-04-12,61,71,10
2024-04-13,56,59,3
2024-04-14,61,61,0
2024-04-15,65,70,5
2024-04-16,72,78,6
2024-04-17,76,80,4
2024-04-18,71,82,11
2024-04-19,65,81,16
2024-04-20,67,83,16
2024-04-21,72,88,16
2024-04-22,72,88,16
2024-04-23,62,71,9
2024-04-24,62,71,9
2024-04-25,63,71,8
2024-04-26,63,74,11
2024-04-27,65,77,12
2024-04-28,64,80,16
2024-04-29,66,82,16
2024-04-30,65,81,16
2024-05-01,72,83,11
2024-05-02,67,86,19
2024-05-03,69,84,15
2024-05-04,57,59,2
2024-05-05,60,67,7
2024-05-06,68,72,4
2024-05-07,63,78,15
2024-05-08,76,82,6
2024-05-09,84,88,4
2024-05-10,80,95,15
2024-05-11,70,96,26
2024-05-12,64,89,25
2024-05-13,65,90,25
2024-05-14,67,93,26
2024-05-15,68,94,26
2024-05-16,70,82,12
2024-05-17,70,86,16
2024-05-18,69,82,13
2024-05-19,69,84,15
2024-05-20,72,84,12
2024-05-21,77,90,13
2024-05-22,68,89,21
2024-05-23,66,88,22
2024-05-24,59,77,18
2024-05-25,62,75,13
2024-05-26,70,86,16
2024-05-27,65,89,24
2024-05-28,68,87,19
2024-05-29,77,89,12
2024-05-30,76,92,16
2024-05-31,73,97,24
2024-06-01,65,89,24
2024-06-02,69,89,20
2024-06-03,69,88,19
2024-06-04,78,102,24
2024-06-05,80,104,24
2024-06-06,65,101,36
2024-06-07,71,94,23
2024-06-08,68,87,19
2024-06-09,65,89,24
2024-06-10,68,97,29
2024-06-11,81,102,21
2024-06-12,71,100,29
2024-06-13,67,86,19
2024-06-14,67,92,25
2024-06-15,69,90,21
2024-06-16,68,91,23
2024-06-17,74,85,11
2024-06-18,72,89,17
2024-06-19,63,91,28
2024-06-20,63,91,28
2024-06-21,66,95,29
2024-06-22,69,102,33
2024-06-23,67,101,34
2024-06-24,74,101,27
2024-06-25,72,97,25
2024-06-26,65,95,30
2024-06-27,66,91,25
2024-06-28,73,97,24
2024-06-29,74,98,24
2024-06-30,70,99,29
2024-07-01,74,104,30
2024-07-02,88,105,17
2024-07-03,86,106,20
2024-07-04,87,108,21
2024-07-05,77,109,32
2024-07-06,76,112,36
2024-07-07,72,106,34
2024-07-08,71,103,32
2024-07-09,72,98,26
2024-07-10,74,107,33
2024-07-11,81,111,30
2024-07-12,70,111,41
2024-07-13,72,102,30
2024-07-14,69,100,31
2024-07-15,70,96,26
2024-07-16,70,91,21
2024-07-17,67,94,27
2024-07-18,70,104,34
2024-07-19,81,106,25
2024-07-20,68,105,37
2024-07-21,64,97,33
2024-07-22,75,107,32
2024-07-23,78,109,31
2024-07-24,80,107,27
2024-07-25,77,103,26
2024-07-26,66,102,36
2024-07-27,60,78,18
2024-07-28,70,89,19
2024-07-29,66,91,25
2024-07-30,69,94,25
2024-07-31,68,99,31
2024-08-01,68,103,35
2024-08-02,68,99,31
2024-08-03,70,103,33
2024-08-04,64,102,38
2024-08-05,63,97,34
2024-08-06,74,103,29
2024-08-07,72,104,32
2024-08-08,65,97,32
2024-08-09,65,100,35
2024-08-10,64,99,35
2024-08-11,64,94,30
2024-08-12,66,91,25
2024-08-13,69,92,23
2024-08-14,69,97,28
2024-08-15,68,94,26
2024-08-16,72,95,23
2024-08-17,73,88,15
2024-08-18,69,88,19
2024-08-19,70,91,21
2024-08-20,76,95,19
2024-08-21,71,92,21
2024-08-22,68,86,18
2024-08-23,67,78,11
2024-08-24,72,78,6
2024-08-25,78,89,11
2024-08-26,83,94,11
2024-08-27,86,99,13
2024-08-28,71,100,29
2024-08-29,71,98,27
2024-08-30,71,98,27
2024-09-01,72,95,23
2024-09-02,71,92,21
2024-09-03,84,100,16
2024-09-04,72,104,32
2024-09-05,76,103,27
2024-09-06,70,105,35
2024-09-07,66,100,34
2024-09-08,71,100,29
2024-09-09,69,101,32
2024-09-10,67,88,21
2024-09-11,67,89,22
2024-09-12,73,89,16
2024-09-13,73,94,21
2024-09-14,70,95,25
2024-09-15,64,81,17
2024-09-16,67,73,6
2024-09-17,65,78,13
2024-09-18,71,78,7
