"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2024-01-01",,,"61",",,W","44",",,W"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2024-01-02",,,"53",",,W","45",",,W"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2024-01-03",,,"58",",,W","43",",,W"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2024-01-04",,,"60",",,W","37",",,W"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2024-01-05",,,"61",",,W","39",",,W"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2024-01-06",,,"50",",,W","36",",,W"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2024-01-07",,,"54",",,W","32",",,W"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2024-01-08",,,"55",",,W","35",",,W"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2024-01-09",,,"52",",,W","47",",,W"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2024-01-10",,,"58",",,W","38",",,W"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2024-01-11",,,"55",",,W","38",",,W"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2024-01-12",,,"52",",,W","37",",,W"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2024-01-13",,,"51",",,W","46",",,W"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2024-01-14",,,"54",",,W","48",",,W"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2024-01-15",,,"59",",,W","42",",,W"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2024-01-16",,,"53",",,W","43",",,W"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2024-01-17",,,"63",",,W","45",",,W"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2024-01-18",,,"59",",,W","42",",,W"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2024-01-19",,,"59",",,W","46",",,W"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2024-01-20",,,"61",",,W","54",",,W"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2024-01-21",,,"62",",,W","54",",,W"
