"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-01","80","H,,S","93",",,a","64",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-02","80","H,,S","93",",,a","67",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-03","80","H,,S","92",",,a","69",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-04","80","H,,S","97",",,a","68",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-05","75","H,,S","88",",,a","67",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-06","76","H,,S","89",",,a","63",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-07","77","H,,S","90",",,a","65",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-08","71","H,,S","79",",,a","70",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-09","78","H,,S","89",",,a","66",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-10","83","H,,S","95",",,a","69",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-11","80","H,,S","95",",,a","70",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-12","81","H,,S","91",",,a","72",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-13","82","H,,S","94",",,a","71",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-14","79","H,,S","91",",,a","72",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-15","74","H,,S","89",",,a","69",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-16","75","H,,S","89",",,a","66",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-17","72","H,,S","83",",,a","67",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-18","68","H,,S","81",",,a","68",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-19","74","H,,S","87",",,a","53",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-20","76","H,,S","93",",,a","60",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-21","83","H,,S","100",",,a","58",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-22","78","H,,S","94",",,a","61",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-23","77","H,,S","90",",,a","66",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-24","84","H,,S","98",",,a","63",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-25","90","H,,S","102",",,a","71",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-26","82","H,,S","102",",,a","81",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-27","72","H,,S","91",",,a","69",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-28","81","H,,S","95",",,a","53",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-29","86","H,,S","101",",,a","69",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-30","83","H,,S","100",",,a","70",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-01-31","84","H,,S","100",",,a","71",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-01","84","H,,S","99",",,a","71",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-02","81","H,,S","98",",,a","63",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-03","86","H,,S","101",",,a","64",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-04","93","H,,S","105",",,a","71",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-05","82","H,,S","99",",,a","85",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-06","75","H,,S","90",",,a","69",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-07","69","H,,S","76",",,a","64",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-08","69","H,,S","75",",,a","65",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-09","75","H,,S","88",",,a","63",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-10","73","H,,S","87",",,a","64",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-11","76","H,,S","88",",,a","64",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-12","79","H,,S","93",",,a","66",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-13","81","H,,S","93",",,a","66",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-14","80","H,,S","94",",,a","67",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-15","76","H,,S","94",",,a","68",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-16","77","H,,S","91",",,a","66",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-17","79","H,,S","92",",,a","67",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-18","74","H,,S","95",",,a","68",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-19","74","H,,S","91",",,a","62",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-20","74","H,,S","86",",,a","63",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-21","78","H,,S","88",",,a","63",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-22","81","H,,S","95",",,a","68",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-23","80","H,,S","99",",,a","67",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-24","74","H,,S","92",",,a","61",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-25","76","H,,S","91",",,a","64",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-26","81","H,,S","96",",,a","63",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-27","82","H,,S","98",",,a","71",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-28","87","H,,S","100",",,a","70",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-02-29","81","H,,S","103",",,a","72",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-03-01","83","H,,S","99",",,a","67",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-03-02","71","H,,S","85",",,a","70",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-03-03","70","H,,S","89",",,a","64",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-03-04","74","H,,S","92",",,a","50",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-03-05","77","H,,S","92",",,a","62",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-03-06","81","H,,S","95",",,a","65",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-03-07","82","H,,S","98",",,a","69",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-03-08","79","H,,S","93",",,a","68",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-03-09","78","H,,S","92",",,a","61",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-03-10","78","H,,S","92",",,a","63",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-03-11","77","H,,S","93",",,a","65",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-03-12","79","H,,S","94",",,a","61",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-03-13","79","H,,S","95",",,a","64",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-03-14","82","H,,S","98",",,a","62",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-03-15","72","H,,S","85",",,a","69",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-03-16","66","H,,S","74",",,a","64",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-03-17","70","H,,S","82",",,a","62",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-03-18","72","H,,S","83",",,a","64",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-03-19","78","H,,S","91",",,a","64",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-03-20","63","H,,S","73",",,a","70",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-03-21","66","H,,S","78",",,a","55",",,a"
"ASN00065070","DUBBO AIRPORT AWS, AS","-32.2206","148.5753","284.0","2024-03-22","69","H,,S","82",",,a","55",",,a"
