DATE,TMAX_LAND,TMAX_OCEAN,DIFF
2024-01-01,79,93.0,14.0
2024-01-02,84,93.0,9.0
2024-01-03,85,92.0,7.0
2024-01-04,77,97.0,20.0
2024-01-05,76,88.0,12.0
2024-01-06,80,89.0,9.0
2024-01-07,84,90.0,6.0
2024-01-08,84,79.0,-5.0
2024-01-09,78,89.0,11.0
2024-01-10,85,95.0,10.0
2024-01-11,83,95.0,12.0
2024-01-12,85,91.0,6.0
2024-01-13,88,94.0,6.0
2024-01-14,80,91.0,11.0
2024-01-15,78,89.0,11.0
2024-01-16,78,89.0,11.0
2024-01-17,84,83.0,-1.0
2024-01-18,83,81.0,-2.0
2024-01-19,82,87.0,5.0
2024-01-20,82,93.0,11.0
2024-01-21,103,100.0,-3.0
2024-01-22,76,94.0,18.0
2024-01-23,79,90.0,11.0
2024-01-24,86,98.0,12.0
2024-01-25,89,102.0,13.0
2024-01-26,105,102.0,-3.0
2024-01-27,77,91.0,14.0
2024-01-28,82,95.0,13.0
2024-01-29,87,101.0,14.0
2024-01-30,76,100.0,24.0
2024-01-31,78,100.0,22.0
2024-02-01,88,99.0,11.0
2024-02-02,85,98.0,13.0
2024-02-03,84,101.0,17.0
2024-02-04,91,105.0,14.0
2024-02-05,87,99.0,12.0
2024-02-06,74,90.0,16.0
2024-02-07,74,76.0,2.0
2024-02-08,78,75.0,-3.0
2024-02-09,74,88.0,14.0
2024-02-10,78,87.0,9.0
2024-02-11,78,88.0,10.0
2024-02-12,86,93.0,7.0
2024-02-13,89,93.0,4.0
2024-02-14,87,94.0,7.0
2024-02-15,72,94.0,22.0
2024-02-16,84,91.0,7.0
2024-02-17,87,92.0,5.0
2024-02-18,85,95.0,10.0
2024-02-19,79,91.0,12.0
2024-02-20,73,86.0,13.0
2024-02-21,78,88.0,10.0
2024-02-22,88,95.0,7.0
2024-02-23,101,99.0,-2.0
2024-02-24,71,92.0,21.0
2024-02-25,82,91.0,9.0
2024-02-26,82,96.0,14.0
2024-02-27,80,98.0,18.0
2024-02-28,85,100.0,15.0
2024-02-29,95,103.0,8.0
2024-03-01,84,99.0,15.0
2024-03-02,76,85.0,9.0
2024-03-03,92,89.0,-3.0
2024-03-04,73,92.0,19.0
2024-03-05,80,92.0,12.0
2024-03-06,85,95.0,10.0
2024-03-07,78,98.0,20.0
2024-03-08,85,93.0,8.0
2024-03-09,87,92.0,5.0
2024-03-10,87,92.0,5.0
2024-03-11,85,93.0,8.0
2024-03-12,93,94.0,1.0
2024-03-13,85,95.0,10.0
2024-03-14,88,98.0,10.0
2024-03-15,78,85.0,7.0
2024-03-16,78,74.0,-4.0
2024-03-17,72,82.0,10.0
2024-03-18,79,83.0,4.0
2024-03-19,83,91.0,8.0
2024-03-20,78,73.0,-5.0
2024-03-21,69,78.0,9.0
2024-03-22,76,82.0,6.0
2024-03-23,76,75.0,-1.0
2024-03-24,78,83.0,5.0
2024-03-25,87,83.0,-4.0
2024-03-26,81,86.0,5.0
2024-03-27,77,86.0,9.0
2024-03-28,77,85.0,8.0
2024-03-29,78,86.0,8.0
2024-03-30,85,87.0,2.0
2024-03-31,82,87.0,5.0
2024-04-01,85,88.0,3.0
2024-04-02,82,76.0,-6.0
2024-04-03,76,76.0,0.0
2024-04-04,72,72.0,0.0
2024-04-05,70,64.0,-6.0
2024-04-06,85,75.0,-10.0
2024-04-07,83,72.0,-11.0
2024-04-08,74,76.0,2.0
2024-04-09,70,69.0,-1.0
2024-04-10,68,68.0,0.0
2024-04-11,69,74.0,5.0
2024-04-12,74,77.0,3.0
2024-04-13,73,78.0,5.0
2024-04-14,77,79.0,2.0
2024-04-15,75,78.0,3.0
2024-04-16,74,80.0,6.0
2024-04-17,71,80.0,9.0
2024-04-18,73,74.0,1.0
2024-04-19,69,62.0,-7.0
2024-04-20,67,67.0,0.0
2024-04-21,69,74.0,5.0
2024-04-22,73,75.0,2.0
2024-04-23,79,78.0,-1.0
2024-04-24,80,76.0,-4.0
2024-04-25,69,70.0,1.0
2024-04-26,67,72.0,5.0
2024-04-27,70,76.0,6.0
2024-04-28,76,78.0,2.0
2024-04-29,83,79.0,-4.0
2024-04-30,68,62.0,-6.0
2024-05-01,65,70.0,5.0
2024-05-02,66,71.0,5.0
2024-05-03,63,72.0,9.0
2024-05-04,66,63.0,-3.0
2024-05-05,69,69.0,0.0
2024-05-06,72,72.0,0.0
2024-05-07,67,71.0,4.0
2024-05-08,68,71.0,3.0
2024-05-09,68,74.0,6.0
2024-05-10,68,68.0,0.0
2024-05-11,64,67.0,3.0
2024-05-12,67,67.0,0.0
2024-05-13,68,72.0,4.0
2024-05-14,71,,
2024-05-15,73,73.0,0.0
2024-05-16,69,68.0,-1.0
2024-05-17,75,72.0,-3.0
2024-05-18,60,63.0,3.0
2024-05-19,64,62.0,-2.0
2024-05-20,63,63.0,0.0
2024-05-21,64,67.0,3.0
2024-05-22,66,67.0,1.0
2024-05-23,67,67.0,0.0
2024-05-24,67,69.0,2.0
2024-05-25,68,70.0,2.0
2024-05-26,70,69.0,-1.0
2024-05-27,67,68.0,1.0
2024-05-28,72,71.0,-1.0
2024-05-29,72,73.0,1.0
2024-05-30,76,72.0,-4.0
2024-05-31,72,60.0,-12.0
2024-06-01,65,63.0,-2.0
2024-06-02,62,62.0,0.0
2024-06-03,67,58.0,-9.0
2024-06-04,64,53.0,-11.0
2024-06-05,60,54.0,-6.0
2024-06-06,62,62.0,0.0
2024-06-07,64,54.0,-10.0
2024-06-08,69,61.0,-8.0
2024-06-09,68,56.0,-12.0
2024-06-10,63,63.0,0.0
2024-06-11,63,63.0,0.0
2024-06-12,66,62.0,-4.0
2024-06-13,62,56.0,-6.0
2024-06-14,60,58.0,-2.0
2024-06-15,57,60.0,3.0
2024-06-16,61,60.0,-1.0
2024-06-17,61,58.0,-3.0
2024-06-18,61,58.0,-3.0
2024-06-19,62,56.0,-6.0
2024-06-20,64,61.0,-3.0
2024-06-21,62,57.0,-5.0
2024-06-22,56,60.0,4.0
2024-06-23,60,61.0,1.0
2024-06-24,64,63.0,-1.0
2024-06-25,68,68.0,0.0
2024-06-26,72,64.0,-8.0
2024-06-27,69,62.0,-7.0
2024-06-28,67,64.0,-3.0
2024-06-29,69,71.0,2.0
2024-06-30,58,56.0,-2.0
2024-07-01,58,60.0,2.0
2024-07-02,60,62.0,2.0
2024-07-03,61,62.0,1.0
2024-07-04,64,64.0,0.0
2024-07-05,63,64.0,1.0
2024-07-06,63,63.0,0.0
2024-07-07,60,59.0,-1.0
2024-07-08,64,57.0,-7.0
2024-07-09,68,60.0,-8.0
2024-07-10,69,58.0,-11.0
2024-07-11,65,55.0,-10.0
2024-07-12,67,60.0,-7.0
2024-07-13,62,53.0,-9.0
2024-07-14,63,55.0,-8.0
2024-07-15,60,54.0,-6.0
2024-07-16,61,48.0,-13.0
2024-07-17,65,52.0,-13.0
2024-07-18,66,54.0,-12.0
2024-07-19,62,56.0,-6.0
2024-07-20,64,58.0,-6.0
2024-07-21,65,58.0,-7.0
2024-07-22,68,61.0,-7.0
2024-07-23,68,63.0,-5.0
2024-07-24,69,64.0,-5.0
2024-07-25,74,68.0,-6.0
2024-07-26,68,67.0,-1.0
2024-07-27,63,63.0,0.0
2024-07-28,58,54.0,-4.0
2024-07-29,57,54.0,-3.0
2024-07-30,58,58.0,0.0
2024-07-31,58,60.0,2.0
2024-08-01,58,60.0,2.0
2024-08-02,60,62.0,2.0
2024-08-03,67,63.0,-4.0
2024-08-04,62,61.0,-1.0
2024-08-05,62,57.0,-5.0
2024-08-06,61,60.0,-1.0
2024-08-07,63,62.0,-1.0
2024-08-08,67,67.0,0.0
2024-08-09,71,67.0,-4.0
2024-08-10,65,70.0,5.0
2024-08-11,66,70.0,4.0
2024-08-12,63,68.0,5.0
2024-08-13,68,72.0,4.0
2024-08-14,66,61.0,-5.0
2024-08-15,64,68.0,4.0
2024-08-16,73,69.0,-4.0
2024-08-17,71,63.0,-8.0
2024-08-18,62,62.0,0.0
2024-08-19,63,69.0,6.0
2024-08-20,72,72.0,0.0
2024-08-21,81,69.0,-12.0
2024-08-22,74,68.0,-6.0
2024-08-23,74,70.0,-4.0
2024-08-24,83,74.0,-9.0
2024-08-25,75,65.0,-10.0
2024-08-26,78,68.0,-10.0
2024-08-27,78,71.0,-7.0
2024-08-28,85,75.0,-10.0
2024-08-29,77,67.0,-10.0
2024-08-30,89,83.0,-6.0
2024-08-31,79,69.0,-10.0
2024-09-01,83,73.0,-10.0
2024-09-02,79,68.0,-11.0
2024-09-03,64,65.0,1.0
2024-09-04,72,71.0,-1.0
2024-09-05,84,75.0,-9.0
2024-09-06,89,79.0,-10.0
2024-09-07,74,77.0,3.0
2024-09-08,71,65.0,-6.0
2024-09-09,78,69.0,-9.0
2024-09-10,70,71.0,1.0
2024-09-11,77,76.0,-1.0
2024-09-12,65,66.0,1.0
2024-09-13,64,67.0,3.0
2024-09-14,74,70.0,-4.0
2024-09-15,60,62.0,2.0
2024-09-16,65,67.0,2.0
2024-09-17,71,69.0,-2.0
2024-09-18,82,72.0,-10.0
2024-09-19,83,78.0,-5.0
2024-09-20,80,68.0,-12.0
2024-09-21,79,70.0,-9.0
2024-09-22,81,73.0,-8.0
2024-09-23,86,79.0,-7.0
2024-09-24,78,84.0,6.0
2024-09-25,81,79.0,-2.0
2024-09-26,61,66.0,5.0
2024-09-27,65,68.0,3.0
2024-09-28,67,72.0,5.0
2024-09-29,72,74.0,2.0
2024-09-30,66,72.0,6.0
2024-10-01,71,74.0,3.0
2024-10-02,68,76.0,8.0
2024-10-03,70,78.0,8.0
2024-10-04,75,78.0,3.0
2024-10-05,82,78.0,-4.0
2024-10-06,85,78.0,-7.0
2024-10-07,88,84.0,-4.0
2024-10-08,62,81.0,19.0
2024-10-09,64,73.0,9.0
2024-10-10,75,79.0,4.0
2024-10-11,75,86.0,11.0
2024-10-12,64,79.0,15.0
2024-10-13,71,80.0,9.0
2024-10-14,75,81.0,6.0
2024-10-15,66,73.0,7.0
2024-10-16,69,62.0,-7.0
2024-10-17,75,81.0,6.0
2024-10-18,81,83.0,2.0
2024-10-19,76,68.0,-8.0
2024-10-20,68,85.0,17.0
2024-10-21,68,80.0,12.0
2024-10-22,74,83.0,9.0
2024-10-23,87,89.0,2.0
2024-10-24,72,76.0,4.0
2024-10-25,70,72.0,2.0
2024-10-26,67,76.0,9.0
2024-10-27,79,81.0,2.0
2024-10-28,81,90.0,9.0
2024-10-29,73,84.0,11.0
2024-10-30,79,87.0,8.0
2024-10-31,79,90.0,11.0
2024-11-01,73,82.0,9.0
2024-11-02,72,89.0,17.0
2024-11-03,87,94.0,7.0
2024-11-04,70,85.0,15.0
2024-11-05,74,92.0,18.0
2024-11-06,82,99.0,17.0
2024-11-07,93,92.0,-1.0
2024-11-08,89,83.0,-6.0
2024-11-09,77,89.0,12.0
2024-11-10,75,89.0,14.0
2024-11-11,69,72.0,3.0
2024-11-12,76,86.0,10.0
2024-11-13,79,92.0,13.0
2024-11-14,70,89.0,19.0
2024-11-15,73,90.0,17.0
2024-11-16,77,94.0,17.0
2024-11-17,83,93.0,10.0
2024-11-18,84,82.0,-2.0
2024-11-19,73,87.0,14.0
2024-11-20,77,87.0,10.0
2024-11-21,78,86.0,8.0
2024-11-22,81,90.0,9.0
2024-11-23,84,92.0,8.0
2024-11-24,84,95.0,11.0
2024-11-25,83,95.0,12.0
2024-11-26,89,96.0,7.0
2024-11-27,101,87.0,-14.0
2024-11-28,87,89.0,2.0
2024-11-29,72,80.0,8.0
2024-11-30,78,74.0,-4.0
2024-12-01,88,87.0,-1.0
2024-12-02,95,95.0,0.0
2024-12-03,95,80.0,-15.0
2024-12-04,76,90.0,14.0
2024-12-05,81,94.0,13.0
2024-12-06,86,94.0,8.0
2024-12-07,86,90.0,4.0
2024-12-08,81,90.0,9.0
2024-12-09,77,84.0,7.0
2024-12-10,77,89.0,12.0
2024-12-11,79,87.0,8.0
2024-12-12,84,89.0,5.0
2024-12-13,89,93.0,4.0
2024-12-14,81,97.0,16.0
2024-12-15,78,99.0,21.0
2024-12-16,87,99.0,12.0
2024-12-17,93,99.0,6.0
2024-12-18,72,86.0,14.0
2024-12-19,74,86.0,12.0
2024-12-20,77,90.0,13.0
2024-12-21,86,97.0,11.0
2024-12-22,82,97.0,15.0
2024-12-23,85,80.0,-5.0
2024-12-24,76,86.0,10.0
2024-12-25,84,93.0,9.0
2024-12-26,85,98.0,13.0
2024-12-27,103,96.0,-7.0
2024-12-28,81,86.0,5.0
2024-12-29,86,89.0,3.0
2024-12-30,82,97.0,15.0
2024-12-31,85,97.0,12.0
