"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-01","75","H,,S","79",",,a","65",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-02","77","H,,S","84",",,a","70",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-03","77","H,,S","85",",,a","71",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-04","72","H,,S","77",",,a","71",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-05","71","H,,S","76",",,a","69",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-06","74","H,,S","80",",,a","65",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-07","77","H,,S","84",",,a","67",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-08","76","H,,S","84",",,a","72",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-09","74","H,,S","78",",,a","69",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-10","78","H,,S","85",",,a","70",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-11","77","H,,S","83",",,a","73",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-12","78","H,,S","85",",,a","72",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-13","77","H,,S","88",",,a","69",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-14","73","H,,S","80",",,a","69",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-15","71","H,,S","78",",,a","66",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-16","75","H,,S","78",",,a","65",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-17","76","H,,S","84",",,a","70",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-18","74","H,,S","83",",,a","70",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-19","76","H,,S","82",",,a","66",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-20","76","H,,S","82",",,a","71",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-21","83","H,,S","103",",,a","71",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-22","71","H,,S","76",",,a","69",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-23","73","H,,S","79",",,a","69",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-24","81","H,,S","86",",,a","67",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-25","78","H,,S","89",",,a","75",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-26","77","H,,S","105",",,a","74",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-27","72","H,,S","77",",,a","67",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-28","75","H,,S","82",",,a","65",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-29","79","H,,S","87",",,a","71",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-30","73","H,,S","76",",,a","72",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-01-31","72","H,,S","78",",,a","71",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-01","78","H,,S","88",",,a","68",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-02","76","H,,S","85",",,a","71",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-03","77","H,,S","84",",,a","71",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-04","83","H,,S","91",",,a","71",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-05","78","H,,S","87",",,a","76",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-06","70","H,,S","74",",,a","69",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-07","70","H,,S","74",",,a","65",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-08","70","H,,S","78",",,a","67",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-09","71","H,,S","74",",,a","64",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-10","72","H,,S","78",",,a","67",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-11","74","H,,S","78",",,a","65",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-12","78","H,,S","86",",,a","71",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-13","79","H,,S","89",",,a","73",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-14","71","H,,S","87",",,a","71",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-15","69","H,,S","72",",,a","66",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-16","77","H,,S","84",",,a","66",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-17","77","H,,S","87",",,a","70",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-18","76","H,,S","85",",,a","71",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-19","70","H,,S","79",",,a","71",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-20","69","H,,S","73",",,a","65",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-21","73","H,,S","78",",,a","64",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-22","79","H,,S","88",",,a","69",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-23","78","H,,S","101",",,a","73",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-24","67","H,,S","71",",,a","67",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-25","74","H,,S","82",",,a","60",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-26","73","H,,S","82",",,a","67",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-27","73","H,,S","80",",,a","71",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-28","79","H,,S","85",",,a","69",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-02-29","80","H,,S","95",",,a","73",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-03-01","78","H,,S","84",",,a","70",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-03-02","71","H,,S","76",",,a","73",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2024-03-03","77","H,,S","92",",,a","66",",,a"
