"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-01","40","H,,S","48",",,W","33",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-02","40","H,,S","48",",,W","29",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-03","35","H,,S","49",",,W","26",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-04","41","H,,S","47",",,W","30",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-05","33","H,,S","43",",,W","25",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-06","37","H,,S","51",",,W","30",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-07","42","H,,S","55",",,W","34",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-08","41","H,,S","50",",,W","27",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-09","44","H,,S","63",",,W","34",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-10","52","H,,S","57",",,W","39",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-11","42","H,,S","57",",,W","28",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-12","41","H,,S","57",",,W","28",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-13","53","H,,S","62",",,W","38",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-14","42","H,,S","57",",,W","29",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-15","35","H,,S","38",",,W","31",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-16","31","H,,S","32",",,W","21",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-17","24","H,,S","33",",,W","14",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-18","32","H,,S","47",",,W","20",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-19","38","H,,S","43",",,W","30",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-20","29","H,,S","33",",,W","21",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-21","26","H,,S","38",",,W","18",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-22","29","H,,S","47",",,W","17",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-23","38","H,,S","53",",,W","27",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-24","53","H,,S","71",",,W","45",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-25","65","H,,S","71",",,W","62",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-26","69","H,,S","78",",,W","60",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-27","60","H,,S","65",",,W","47",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-28","47","H,,S","48",",,W","44",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-29","47","H,,S","54",",,W","39",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-30","40","H,,S","48",",,W","30",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-01-31","41","H,,S","47",",,W","35",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-02-01","41","H,,S","57",",,W","28",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-02-02","46","H,,S","58",",,W","36",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-02-03","42","H,,S","51",",,W","31",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-02-04","40","H,,S","55",",,W","26",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-02-05","41","H,,S","56",",,W","26",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-02-06","39","H,,S","47",",,W","30",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-02-07","37","H,,S","53",",,W","26",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-02-08","41","H,,S","57",",,W","27",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-02-09","49","H,,S","61",",,W","42",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-02-10","56","H,,S","64",",,W","51",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-02-11","57","H,,S","59",",,W","50",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-02-12","50","H,,S","51",",,W","45",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-02-13","46","H,,S","55",",,W","32",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-02-14","42","H,,S","54",",,W","29",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-02-15","40","H,,S","56",",,W","27",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-02-16","50","H,,S","54",",,W","41",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-02-17","42","H,,S","48",",,W","26",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-02-18","35","H,,S","49",",,W","23",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-02-19","40","H,,S","54",",,W","26",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-02-20","39","H,,S","53",",,W","27",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-02-21","39","H,,S","53",",,W","28",",,W"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","37.51154","-77.32338","50.7","2024-02-22","43","H,,S","63",",,W","28",",,W"
