"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-01","82","H,,S","97",",,a","67",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-02","68","H,,S","75",",,a","68",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-03","66","H,,S","75",",,a","58",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-04","66","H,,S","76",",,a","56",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-05","69","H,,S","79",",,a","61",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-06","72","H,,S","84",",,a","60",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-07","78","H,,S","91",",,a","62",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-08","87","H,,S","99",",,a","65",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-09","87","H,,S","111",",,a","75",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-10","85","H,,S","106",",,a","65",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-11","89","H,,S","108",",,a","68",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-12","79","H,,S","87",",,a","79",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-13","85","H,,S","104",",,a","68",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-14","83","H,,S","98",",,a","68",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-15","89","H,,S","101",",,a","70",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-16","85","H,,S","101",",,a","78",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-17","84","H,,S","96",",,a","66",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-18","90","H,,S","108",",,a","74",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-19","85","H,,S","102",",,a","69",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-20","85","H,,S","98",",,a","68",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-21","91","H,,S","105",",,a","72",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-22","88","H,,S","107",",,a","75",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-23","81","H,,S","95",",,a","70",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-24","77","H,,S","86",",,a","67",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-25","67","H,,S","73",",,a","65",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-26","72","H,,S","84",",,a","62",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-27","78","H,,S","90",",,a","59",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-28","82","H,,S","102",",,a","68",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-29","79","H,,S","92",",,a","62",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-30","82","H,,S","95",",,a","65",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-01-31","86","H,,S","99",",,a","68",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-01","89","H,,S","103",",,a","73",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-02","91","H,,S","107",",,a","71",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-03","88","H,,S","111",",,a","72",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-04","68","H,,S","85",",,a","62",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-05","69","H,,S","79",",,a","56",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-06","72","H,,S","83",",,a","57",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-07","78","H,,S","89",",,a","60",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-08","84","H,,S","96",",,a","66",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-09","86","H,,S","99",",,a","71",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-10","86","H,,S","100",",,a","70",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-11","90","H,,S","104",",,a","71",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-12","85","H,,S","108",",,a","71",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-13","75","H,,S","89",",,a","63",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-14","78","H,,S","89",",,a","60",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-15","86","H,,S","98",",,a","67",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-16","86","H,,S",,,"77",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-17","93","H,,S","107",",,a","72",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-18","94","H,,S","107",",,a","74",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-19","96","H,,S","109",",,a","79",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-20","96","H,,S","111",",,a","82",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-21","92","H,,S","116",",,a","81",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-22","75","H,,S","89",",,a","64",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-23","78","H,,S","89",",,a","60",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-24","78","H,,S","92",",,a","69",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-25","67","H,,S","74",",,a","65",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-26","81","H,,S","93",",,a","65",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-27","74","H,,S","88",",,a","73",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-28","75","H,,S","87",",,a","58",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-02-29","81","H,,S","96",",,a","65",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-03-01","78","H,,S","91",",,a","67",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-03-02","81","H,,S","95",",,a","65",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-03-03","73","H,,S","81",",,a","70",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-03-04","79","H,,S","100",",,a","67",",,a"
"ASN00012038","KALGOORLIE BOULDER AIRPORT, AS","-30.7847","121.4533","365.3","2024-03-05","76","H,,S","85",",,a","68",",,a"
