"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00009021","PERTH AIRPORT, AS","-31.9275","115.9764","15.4","2024-01-01","74","H,,S","87",",,a","60",",,a"
"ASN00009021","PERTH AIRPORT, AS","-31.9275","115.9764","15.4","2024-01-02","74","H,,S","86",",,a","63",",,a"
"ASN00009021","PERTH AIRPORT, AS","-31.9275","115.9764","15.4","2024-01-03","75","H,,S","89",",,a","67",",,a"
"ASN00009021","PERTH AIRPORT, AS","-31.9275","115.9764","15.4","2024-01-04","75","H,,S","89",",,a","61",",,a"
"ASN00009021","PERTH AIRPORT, AS","-31.9275","115.9764","15.4","2024-01-05","77","H,,S","91",",,a","61",",,a"
"ASN00009021","PERTH AIRPORT, AS","-31.9275","115.9764","15.4","2024-01-06","78","H,,S","94",",,a","64",",,a"
"ASN00009021","PERTH AIRPORT, AS","-31.9275","115.9764","15.4","2024-01-07","84","H,,S","99",",,a","63",",,a"
"ASN00009021","PERTH AIRPORT, AS","-31.9275","115.9764","15.4","2024-01-08","81","H,,S","101",",,a","68",",,a"
"ASN00009021","PERTH AIRPORT, AS","-31.9275","115.9764","15.4","2024-01-09","78","H,,S","92",",,a","63",",,a"
"ASN00009021","PERTH AIRPORT, AS","-31.9275","115.9764","15.4","2024-01-10","76","H,,S","90",",,a","62",",,a"
"ASN00009021","PERTH AIRPORT, AS","-31.9275","115.9764","15.4","2024-01-11","79","H,,S","94",",,a","63",",,a"
"ASN00009021","PERTH AIRPORT, AS","-31.9275","115.9764","15.4","2024-01-12","84","H,,S","100",",,a","67",",,a"
"ASN00009021","PERTH AIRPORT, AS","-31.9275","115.9764","15.4","2024-01-13","90","H,,S","106",",,a","73",",,a"
"ASN00009021","PERTH AIRPORT, AS","-31.9275","115.9764","15.4","2024-01-14","88","H,,S","107",",,a","74",",,a"
"ASN00009021","PERTH AIRPORT, AS","-31.9275","115.9764","15.4","2024-01-15","81","H,,S","98",",,a","71",",,a"
"ASN00009021","PERTH AIRPORT, AS","-31.9275","115.9764","15.4","2024-01-16","88","H,,S","109",",,a","69",",,a"
"ASN00009021","PERTH AIRPORT, AS","-31.9275","115.9764","15.4","2024-01-17","79","H,,S","91",",,a","75",",,a"
"ASN00009021","PERTH AIRPORT, AS","-31.9275","115.9764","15.4","2024-01-18","74","H,,S","82",",,a","70",",,a"
"ASN00009021","PERTH AIRPORT, AS","-31.9275","115.9764","15.4","2024-01-19","74","H,,S","85",",,a","69",",,a"
"ASN00009021","PERTH AIRPORT, AS","-31.9275","115.9764","15.4","2024-01-20","80","H,,S","97",",,a","61",",,a"
"ASN00009021","PERTH AIRPORT, AS","-31.9275","115.9764","15.4","2024-01-21","75","H,,S","90",",,a","63",",,a"
"ASN00009021","PERTH AIRPORT, AS","-31.9275","115.9764","15.4","2024-01-22","73","H,,S","86",",,a","55",",,a"
