DATE,TMAX_LAND,TMAX_OCEAN,DIFF
2024-01-01,87,97.0,10.0
2024-01-02,86,75.0,-11.0
2024-01-03,89,75.0,-14.0
2024-01-04,89,76.0,-13.0
2024-01-05,91,79.0,-12.0
2024-01-06,94,84.0,-10.0
2024-01-07,99,91.0,-8.0
2024-01-08,101,99.0,-2.0
2024-01-09,92,111.0,19.0
2024-01-10,90,106.0,16.0
2024-01-11,94,108.0,14.0
2024-01-12,100,87.0,-13.0
2024-01-13,106,104.0,-2.0
2024-01-14,107,98.0,-9.0
2024-01-15,98,101.0,3.0
2024-01-16,109,101.0,-8.0
2024-01-17,91,96.0,5.0
2024-01-18,82,108.0,26.0
2024-01-19,85,102.0,17.0
2024-01-20,97,98.0,1.0
2024-01-21,90,105.0,15.0
2024-01-22,86,107.0,21.0
2024-01-23,86,95.0,9.0
2024-01-24,88,86.0,-2.0
2024-01-25,89,73.0,-16.0
2024-01-26,89,84.0,-5.0
2024-01-27,95,90.0,-5.0
2024-01-28,84,102.0,18.0
2024-01-29,88,92.0,4.0
2024-01-30,101,95.0,-6.0
2024-01-31,110,99.0,-11.0
2024-02-01,112,103.0,-9.0
2024-02-02,109,107.0,-2.0
2024-02-03,95,111.0,16.0
2024-02-04,81,85.0,4.0
2024-02-05,85,79.0,-6.0
2024-02-06,92,83.0,-9.0
2024-02-07,99,89.0,-10.0
2024-02-08,106,96.0,-10.0
2024-02-09,110,99.0,-11.0
2024-02-10,110,100.0,-10.0
2024-02-11,103,104.0,1.0
2024-02-12,98,108.0,10.0
2024-02-13,96,89.0,-7.0
2024-02-14,99,89.0,-10.0
2024-02-15,110,98.0,-12.0
2024-02-16,85,,
2024-02-17,103,107.0,4.0
2024-02-18,110,107.0,-3.0
2024-02-19,111,109.0,-2.0
2024-02-20,104,111.0,7.0
2024-02-21,85,116.0,31.0
2024-02-22,91,89.0,-2.0
2024-02-23,101,89.0,-12.0
2024-02-24,78,92.0,14.0
2024-02-25,79,74.0,-5.0
2024-02-26,93,93.0,0.0
2024-02-27,86,88.0,2.0
2024-02-28,89,87.0,-2.0
2024-02-29,99,96.0,-3.0
2024-03-01,94,91.0,-3.0
2024-03-02,89,95.0,6.0
2024-03-03,96,81.0,-15.0
2024-03-04,84,100.0,16.0
2024-03-05,94,85.0,-9.0
2024-03-06,92,84.0,-8.0
2024-03-07,99,80.0,-19.0
2024-03-08,85,91.0,6.0
2024-03-09,83,62.0,-21.0
2024-03-10,86,70.0,-16.0
2024-03-11,90,71.0,-19.0
2024-03-12,87,72.0,-15.0
2024-03-13,88,77.0,-11.0
2024-03-14,85,73.0,-12.0
2024-03-15,91,73.0,-18.0
2024-03-16,96,83.0,-13.0
2024-03-17,87,87.0,0.0
2024-03-18,89,87.0,-2.0
2024-03-19,81,71.0,-10.0
2024-03-20,86,72.0,-14.0
2024-03-21,88,77.0,-11.0
2024-03-22,84,75.0,-9.0
2024-03-23,83,72.0,-11.0
2024-03-24,85,74.0,-11.0
2024-03-25,87,78.0,-9.0
2024-03-26,91,82.0,-9.0
2024-03-27,97,81.0,-16.0
2024-03-28,88,83.0,-5.0
2024-03-29,83,86.0,3.0
2024-03-30,85,89.0,4.0
2024-03-31,87,90.0,3.0
2024-04-01,82,76.0,-6.0
2024-04-02,87,76.0,-11.0
2024-04-03,87,76.0,-11.0
2024-04-04,89,75.0,-14.0
2024-04-05,94,81.0,-13.0
2024-04-06,97,85.0,-12.0
2024-04-07,99,87.0,-12.0
2024-04-08,85,78.0,-7.0
2024-04-09,83,72.0,-11.0
2024-04-10,83,73.0,-10.0
2024-04-11,84,73.0,-11.0
2024-04-12,83,66.0,-17.0
2024-04-13,83,62.0,-21.0
2024-04-14,82,73.0,-9.0
2024-04-15,85,78.0,-7.0
2024-04-16,88,80.0,-8.0
2024-04-17,92,81.0,-11.0
2024-04-18,93,75.0,-18.0
2024-04-19,87,75.0,-12.0
2024-04-20,89,80.0,-9.0
2024-04-21,89,80.0,-9.0
2024-04-22,76,84.0,8.0
2024-04-23,72,66.0,-6.0
2024-04-24,75,66.0,-9.0
2024-04-25,73,68.0,-5.0
2024-04-26,83,63.0,-20.0
2024-04-27,76,78.0,2.0
2024-04-28,79,76.0,-3.0
2024-04-29,79,72.0,-7.0
2024-04-30,67,67.0,0.0
2024-05-01,78,73.0,-5.0
2024-05-02,80,71.0,-9.0
2024-05-03,74,84.0,10.0
